"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 25, 2022","423.40","413.30","425.20","407.30","17.74K","2.34%"
"Mar 24, 2022","413.70","392.80","416.70","387.60","47.22K","4.15%"
"Mar 23, 2022","397.20","391.90","407.20","389.20","57.46K","1.17%"
"Mar 22, 2022","392.60","373.40","393.80","371.10","70.12K","5.77%"
"Mar 21, 2022","371.20","374.30","378.00","362.10","66.62K","0.30%"
"Mar 18, 2022","370.10","371.80","376.30","367.80","39.36K","-1.33%"
"Mar 17, 2022","375.10","360.90","378.90","355.60","57.68K","3.68%"
"Mar 16, 2022","361.80","353.30","363.30","352.30","59.61K","3.19%"
"Mar 15, 2022","350.60","353.30","354.20","341.30","52.64K","-1.35%"
"Mar 14, 2022","355.40","357.30","360.00","345.20","63.59K","-2.47%"
"Mar 11, 2022","364.40","355.60","368.40","355.60","59.00K","3.38%"
"Mar 10, 2022","352.50","348.70","356.70","344.80","60.15K","1.73%"
"Mar 09, 2022","346.50","354.10","356.30","341.20","68.31K","-1.11%"
"Mar 08, 2022","350.40","376.00","376.00","347.90","76.92K","-7.28%"
"Mar 07, 2022","377.90","385.60","400.40","373.30","71.71K","-0.21%"
"Mar 04, 2022","378.70","365.00","381.70","363.10","70.78K","5.17%"
"Mar 03, 2022","360.10","364.20","374.70","351.70","72.84K","0.67%"
"Mar 02, 2022","357.70","353.60","366.20","351.40","75.20K","3.08%"
"Mar 01, 2022","347.00","341.50","351.40","336.30","47.83K","3.06%"
"Feb 28, 2022","336.70","344.00","351.80","331.00","73.54K","-0.18%"
"Feb 25, 2022","337.30","356.00","356.00","332.50","73.17K","-6.51%"
"Feb 24, 2022","360.80","349.50","374.80","349.50","120.78K","5.96%"
"Feb 23, 2022","340.50","339.50","352.70","331.40","3.66K","0.15%"
"Feb 22, 2022","340.00","356.40","358.90","336.90","22.33K","-4.44%"
"Feb 21, 2022","355.80","347.60","363.40","342.90","24.23K","5.52%"
"Feb 18, 2022","337.20","335.90","347.00","327.80","48.47K","1.26%"
"Feb 17, 2022","333.00","349.70","359.90","330.70","69.39K","-3.42%"
"Feb 16, 2022","344.80","325.20","348.60","325.20","69.96K","7.78%"
"Feb 15, 2022","319.90","317.50","334.30","316.80","66.87K","1.85%"
"Feb 14, 2022","314.10","304.00","316.60","304.00","52.22K","6.73%"
"Feb 11, 2022","294.30","300.00","306.30","293.10","52.47K","-1.83%"
"Feb 10, 2022","299.80","302.00","304.80","292.00","45.21K","-0.63%"
"Feb 09, 2022","301.70","316.90","319.40","299.00","60.64K","-5.95%"
"Feb 08, 2022","320.80","316.10","328.20","312.50","78.76K","2.92%"
"Feb 07, 2022","311.70","336.30","336.30","308.50","64.32K","-10.94%"
"Feb 04, 2022","350.00","374.20","381.00","348.60","88.27K","-5.23%"
"Feb 03, 2022","369.30","404.00","404.60","361.00","95.48K","-9.68%"
"Feb 02, 2022","408.90","362.40","412.00","362.40","105.09K","15.67%"
"Feb 01, 2022","353.50","367.60","370.70","346.10","85.48K","-2.96%"
"Jan 31, 2022","364.30","375.20","377.90","350.60","80.60K","0.72%"
"Jan 28, 2022","361.70","326.70","364.90","322.10","137.22K","12.64%"
"Jan 27, 2022","321.10","293.00","322.40","293.00","101.51K","9.85%"
"Jan 25, 2022","292.30","293.80","304.40","290.70","64.32K","-2.11%"
"Jan 24, 2022","298.60","291.50","303.60","289.50","11.96K","0.57%"
"Jan 21, 2022","296.90","288.70","297.90","287.50","18.46K","3.49%"
"Jan 20, 2022","286.90","299.90","302.10","281.20","31.50K","-5.69%"
"Jan 19, 2022","304.20","310.50","325.00","302.30","56.71K","-5.06%"
"Jan 18, 2022","320.40","318.90","325.50","316.20","61.62K","0.69%"
"Jan 17, 2022","318.20","320.70","322.40","313.20","49.65K","0.66%"
"Jan 14, 2022","316.10","317.80","318.80","303.80","106.38K","-1.25%"
"Jan 13, 2022","320.10","354.60","357.50","316.90","139.05K","-8.07%"
"Jan 12, 2022","348.20","311.10","350.80","309.70","132.51K","13.38%"
"Jan 11, 2022","307.10","305.00","310.00","296.40","92.38K","1.55%"
"Jan 10, 2022","302.40","296.50","312.00","295.40","125.03K","3.56%"
"Jan 07, 2022","292.00","287.60","295.80","283.30","87.51K","1.81%"
"Jan 06, 2022","286.80","287.50","293.40","284.00","93.60K","0.46%"
"Jan 05, 2022","285.50","280.40","287.20","278.00","79.56K","1.75%"
"Jan 04, 2022","280.60","282.00","294.80","278.80","111.90K","0.86%"
"Jan 03, 2022","278.20","277.00","280.90","272.70","80.25K","0.61%"
"Dec 31, 2021","276.50","272.00","278.40","265.50","80.94K","0.55%"
"Dec 30, 2021","275.00","293.00","296.90","272.40","130.91K","-7.93%"
"Dec 29, 2021","298.70","293.90","305.50","290.30","95.65K","-1.48%"
"Dec 28, 2021","303.20","309.30","311.00","296.40","5.60K","1.17%"
"Dec 27, 2021","299.70","288.90","301.30","282.10","17.47K","6.65%"
"Dec 24, 2021","281.00","280.60","286.10","276.30","7.38K","-0.43%"
"Dec 23, 2021","282.20","299.00","302.80","271.20","60.39K","-6.31%"
"Dec 22, 2021","301.20","294.60","305.30","289.10","48.37K","1.76%"
"Dec 21, 2021","296.00","291.30","299.00","281.20","76.27K","2.28%"
"Dec 20, 2021","289.40","285.50","297.80","279.70","59.54K","1.26%"
"Dec 17, 2021","285.80","290.00","291.20","276.30","78.97K","-2.72%"
"Dec 16, 2021","293.80","293.80","303.40","292.20","70.55K","-0.41%"
"Dec 15, 2021","295.00","286.00","300.70","286.00","72.51K","3.62%"
"Dec 14, 2021","284.70","291.50","292.20","280.90","72.67K","-4.27%"
"Dec 13, 2021","297.40","302.50","310.20","295.20","69.00K","-0.10%"
"Dec 10, 2021","297.70","288.50","300.80","287.60","71.32K","1.85%"
"Dec 09, 2021","292.30","291.00","297.60","282.30","90.62K","0.21%"
"Dec 08, 2021","291.70","285.00","297.20","284.00","77.07K","4.03%"
"Dec 07, 2021","280.40","279.50","290.10","277.30","79.71K","0.65%"
"Dec 06, 2021","278.60","305.10","305.10","275.70","82.18K","-12.33%"
"Dec 03, 2021","317.80","310.50","323.20","310.20","81.05K","2.62%"
"Dec 02, 2021","309.70","322.10","326.50","306.70","107.15K","-3.46%"
"Dec 01, 2021","320.80","342.30","350.80","318.60","91.57K","-7.55%"
"Nov 30, 2021","347.00","364.90","365.60","338.20","102.44K","-5.78%"
"Nov 29, 2021","368.30","392.00","392.00","356.70","77.85K","-9.11%"
"Nov 26, 2021","405.20","375.50","414.70","375.50","87.25K","5.82%"
"Nov 25, 2021","382.90","382.70","384.30","375.30","42.84K","0.50%"
"Nov 24, 2021","381.00","368.40","382.20","363.20","5.40K","1.44%"
"Nov 23, 2021","375.60","358.50","378.60","354.50","12.43K","5.03%"
"Nov 22, 2021","357.60","369.60","369.60","347.50","28.47K","-4.74%"
"Nov 19, 2021","375.40","370.10","380.50","360.00","35.58K","3.50%"
"Nov 18, 2021","362.70","360.70","374.30","359.50","48.17K","0.00%"
"Nov 17, 2021","362.70","383.60","384.40","361.10","80.17K","-8.11%"
"Nov 16, 2021","394.70","374.70","400.60","374.70","82.81K","7.37%"
"Nov 15, 2021","367.60","364.90","370.60","351.60","84.01K","1.91%"
"Nov 12, 2021","360.70","380.30","382.90","356.30","69.02K","-4.80%"
"Nov 11, 2021","378.90","365.00","381.30","364.20","70.53K","4.87%"
"Nov 10, 2021","361.30","372.60","373.40","351.40","85.80K","-2.51%"
"Nov 09, 2021","370.60","403.70","405.40","365.50","99.25K","-9.76%"
